gene_ref,gene_id,gene_name,condition_1,condition_2,gene_switch_q_value,Rank
geneComp_00030298,TBL3,TBL3,Control,FRDA,5.748108684130928e-13,75
geneComp_00025237,PTCHD4,PTCHD4,Control,FRDA,1.0208197178906094e-12,76
geneComp_00018420,HSPBP1,HSPBP1,Control,FRDA,1.1709106060541784e-12,77
geneComp_00032997,ZNF34,ZNF34,Control,FRDA,1.2179695621765932e-12,78
geneComp_00002978,CERS5,CERS5,Control,FRDA,2.2268821489787328e-12,79
geneComp_00016688,FNIP2,FNIP2,Control,FRDA,2.2951414606510105e-12,80
geneComp_00022045,MSRA,MSRA,Control,FRDA,3.6498338627125545e-12,81
geneComp_00003088,CHCHD7,CHCHD7,Control,FRDA,6.189543955900722e-12,82
geneComp_00030977,TMEM63B,TMEM63B,Control,FRDA,7.953820364945043e-12,83
geneComp_00028043,SCN1A,SCN1A,Control,FRDA,9.0270279190846e-12,84
geneComp_00002952,CEP68,CEP68,Control,FRDA,1.1742728099350729e-11,85
geneComp_00004673,DPYSL3,DPYSL3,Control,FRDA,1.4004210978126787e-11,86
geneComp_00030524,TGIF2,TGIF2,Control,FRDA,1.624257991674415e-11,87
geneComp_00019972,LINC01102,LINC01102,Control,FRDA,2.3326278440993345e-11,88
geneComp_00023073,NRG1,NRG1,Control,FRDA,2.7562937924936254e-11,89
geneComp_00020825,LRIG3,LRIG3,Control,FRDA,3.341634096756153e-11,90
geneComp_00024154,PHF20,PHF20,Control,FRDA,7.304629742684091e-11,91
geneComp_00024594,POLDIP3,POLDIP3,Control,FRDA,7.96093981549921e-11,92
geneComp_00003347,CLPTM1,CLPTM1,Control,FRDA,8.972536137849585e-11,93
geneComp_00029719,SSBP3,SSBP3,Control,FRDA,1.1520156416013124e-10,94
geneComp_00032732,ZFAND3,ZFAND3,Control,FRDA,1.970750505212802e-10,95
geneComp_00003725,CREM,CREM,Control,FRDA,2.3311808267636355e-10,96
geneComp_00001588,BBS4,BBS4,Control,FRDA,2.928731030270842e-10,97
geneComp_00030287,TBCD,TBCD,Control,FRDA,3.4256387243323597e-10,98
geneComp_00026766,RNF220,RNF220,Control,FRDA,4.367069045608319e-10,99
geneComp_00018056,HIP1,HIP1,Control,FRDA,6.124251677587165e-10,100
geneComp_00016351,FANCG,FANCG,Control,FRDA,7.248535533118954e-10,101
geneComp_00025221,PSRC1,PSRC1,Control,FRDA,8.866202831343351e-10,102
geneComp_00027958,SBF2,SBF2,Control,FRDA,8.866202831343351e-10,103
geneComp_00003800,CSNK1D,CSNK1D,Control,FRDA,1.1822746561564308e-9,104
geneComp_00004855,EBNA1BP2,EBNA1BP2,Control,FRDA,1.2695483324950475e-9,105
geneComp_00030982,TMEM68,TMEM68,Control,FRDA,1.2695483324950475e-9,106
geneComp_00018768,INPP5K,INPP5K,Control,FRDA,1.6631385874790821e-9,107
geneComp_00025962,RHNO1,RHNO1,Control,FRDA,1.859016457982969e-9,108
geneComp_00004463,DMD,DMD,Control,FRDA,2.052568957723089e-9,109
geneComp_00016915,GABRB3,GABRB3,Control,FRDA,2.3869324878955622e-9,110
